_m,n_all,imp,wor,n_dir,disag_A,disag_B
1926-05,24,12,6,18,1.0,0.6666666666666667
1926-06,34,18,3,21,0.9411764705882353,0.2857142857142858
1926-07,17,10,3,13,0.8235294117647058,0.46153846153846145
1926-08,27,16,5,21,0.8148148148148149,0.4761904761904763
1926-09,24,17,1,18,0.5833333333333333,0.11111111111111116
1926-10,17,9,6,15,0.9411764705882353,0.8
1926-11,38,17,5,22,0.8947368421052632,0.4545454545454546
1926-12,36,25,4,29,0.6111111111111112,0.27586206896551735
1927-01,19,15,4,19,0.42105263157894735,0.42105263157894735
1927-02,23,14,3,17,0.7826086956521738,0.3529411764705883
1927-03,23,13,1,14,0.8695652173913044,0.1428571428571428
1927-04,24,15,1,16,0.75,0.125
1927-05,21,15,4,19,0.5714285714285714,0.42105263157894735
1927-06,14,10,3,13,0.5714285714285714,0.46153846153846145
1927-07,13,11,1,12,0.3076923076923077,0.16666666666666674
1927-08,21,12,2,14,0.8571428571428572,0.2857142857142858
1927-09,20,15,2,17,0.5,0.23529411764705888
1927-10,35,21,7,28,0.8,0.5
1927-11,20,15,1,16,0.5,0.125
1927-12,30,22,2,24,0.5333333333333334,0.16666666666666674
1928-01,32,26,2,28,0.375,0.1428571428571428
1928-02,29,14,4,18,0.9655172413793104,0.4444444444444444
1928-03,13,11,1,12,0.3076923076923077,0.16666666666666674
1928-04,16,7,2,9,0.875,0.4444444444444444
1928-05,9,6,2,8,0.6666666666666667,0.5
1928-06,26,14,7,21,0.9230769230769231,0.6666666666666667
1928-07,20,12,1,13,0.8,0.15384615384615374
1928-08,18,7,9,16,0.7777777777777778,0.875
1928-09,32,22,2,24,0.625,0.16666666666666674
1928-10,28,24,2,26,0.2857142857142858,0.15384615384615374
1928-11,26,15,7,22,0.8461538461538463,0.6363636363636365
1928-12,37,29,5,34,0.43243243243243246,0.2941176470588236
1929-01,16,12,2,14,0.5,0.2857142857142858
1929-02,17,7,4,11,0.8235294117647058,0.7272727272727273
1929-03,20,13,5,18,0.7,0.5555555555555556
1929-04,19,11,5,16,0.8421052631578947,0.625
1929-05,15,10,3,13,0.6666666666666667,0.46153846153846145
1929-06,17,9,3,12,0.9411764705882353,0.5
1929-07,13,9,1,10,0.6153846153846154,0.19999999999999996
1929-08,22,11,2,13,1.0,0.3076923076923077
1929-09,35,20,4,24,0.8571428571428572,0.33333333333333326
1929-10,36,28,3,31,0.4444444444444444,0.19354838709677424
1929-11,35,23,6,29,0.6857142857142857,0.4137931034482758
1929-12,40,26,7,33,0.7,0.4242424242424243
1930-01,42,29,8,37,0.6190476190476191,0.43243243243243246
1930-02,31,19,8,27,0.7741935483870968,0.5925925925925926
1930-03,26,14,2,16,0.9230769230769231,0.25
1930-04,15,11,3,14,0.5333333333333334,0.4285714285714286
1930-05,33,20,6,26,0.7878787878787878,0.46153846153846145
1930-06,49,28,14,42,0.8571428571428572,0.6666666666666667
1930-07,38,27,5,32,0.5789473684210527,0.3125
1930-08,38,24,3,27,0.736842105263158,0.22222222222222232
1930-09,45,32,5,37,0.5777777777777777,0.2702702702702702
1930-10,24,19,3,22,0.41666666666666674,0.2727272727272727
1930-11,25,19,1,20,0.48,0.10000000000000009
1930-12,26,17,7,24,0.6923076923076923,0.5833333333333333
1931-01,31,25,4,29,0.3870967741935485,0.27586206896551735
1931-02,33,19,8,27,0.8484848484848484,0.5925925925925926
1931-03,22,15,6,21,0.6363636363636365,0.5714285714285714
1931-04,26,15,8,23,0.8461538461538463,0.6956521739130435
1931-05,25,19,4,23,0.48,0.34782608695652173
1931-06,32,19,8,27,0.8125,0.5925925925925926
1931-07,38,30,4,34,0.42105263157894735,0.23529411764705888
1931-08,29,15,5,20,0.9655172413793103,0.5
1931-09,34,17,8,25,1.0,0.6399999999999999
1931-10,24,17,3,20,0.5833333333333333,0.30000000000000004
1931-11,24,17,1,18,0.5833333333333333,0.11111111111111116
1931-12,30,19,8,27,0.7333333333333334,0.5925925925925926
1932-01,29,19,5,24,0.6896551724137931,0.41666666666666674
1932-02,18,16,1,17,0.22222222222222232,0.11764705882352944
1932-03,22,15,6,21,0.6363636363636365,0.5714285714285714
1932-04,19,11,4,15,0.8421052631578947,0.5333333333333334
1932-05,13,8,3,11,0.7692307692307692,0.5454545454545454
1932-06,16,10,2,12,0.75,0.33333333333333326
1932-07,24,16,3,19,0.6666666666666667,0.3157894736842106
1932-08,18,13,3,16,0.5555555555555556,0.375
1932-09,18,10,5,15,0.8888888888888888,0.6666666666666667
1932-10,18,11,6,17,0.7777777777777777,0.7058823529411764
1932-11,43,32,10,42,0.5116279069767442,0.4761904761904763
1932-12,26,22,0,22,0.3076923076923077,0.0
1933-01,24,17,2,19,0.5833333333333333,0.21052631578947367
1933-02,11,8,2,10,0.5454545454545454,0.3999999999999999
