forecast_date,forecast_growth,source_file,pred_direction,realized_direction,hit,source,forecaster_id,variable_native,variable_canonical,horizon_native
1973-06-18,2.8,gRGDP_1967_1984.xlsx,improve,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1973-07-11,1.8,gRGDP_1967_1984.xlsx,improve,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1973-08-15,1.5999999999999999,gRGDP_1967_1984.xlsx,improve,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1973-09-12,1.95,gRGDP_1967_1984.xlsx,improve,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1973-10-10,1.725,gRGDP_1967_1984.xlsx,improve,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1973-11-14,2.375,gRGDP_1967_1984.xlsx,improve,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1973-12-12,0.37499999999999994,gRGDP_1967_1984.xlsx,no_change,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1974-01-16,1.1333333333333333,gRGDP_1967_1984.xlsx,improve,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1974-02-13,1.2,gRGDP_1967_1984.xlsx,improve,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1974-03-13,1.3,gRGDP_1967_1984.xlsx,improve,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1974-04-10,2.75,gRGDP_1967_1984.xlsx,improve,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1974-05-15,2.475,gRGDP_1967_1984.xlsx,improve,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1974-06-12,1.6749999999999998,gRGDP_1967_1984.xlsx,improve,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1974-07-10,0.9666666666666668,gRGDP_1967_1984.xlsx,no_change,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1974-08-14,-0.8999999999999999,gRGDP_1967_1984.xlsx,no_change,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1974-09-04,-0.825,gRGDP_1967_1984.xlsx,no_change,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1974-10-09,-0.15000000000000002,gRGDP_1967_1984.xlsx,no_change,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1974-11-13,-0.1250000000000001,gRGDP_1967_1984.xlsx,no_change,worsen,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1974-12-11,-0.8,gRGDP_1967_1984.xlsx,no_change,no_change,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1975-01-15,2.675,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1975-02-12,3.125,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1975-03-12,3.1750000000000003,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1975-04-09,5.7250000000000005,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1975-05-14,5.125,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1975-06-11,5.525,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1975-07-09,5.775,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1975-08-13,6.35,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1975-09-10,6.0249999999999995,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1975-10-15,4.675,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1975-11-12,4.775,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1975-12-10,4.625,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1976-01-14,4.266666666666667,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1976-02-11,5.25,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1976-03-10,5.275,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1976-04-14,5.075,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1976-05-12,5.225,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1976-06-16,5.075,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1976-07-14,5.125,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1976-08-11,5.15,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1976-09-15,5.375,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1976-10-13,4.9,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1976-11-10,4.6,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1976-12-15,5.55,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1977-01-12,6.1000000000000005,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1977-02-09,6.275,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1977-03-09,6.499999999999999,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1977-04-15,5.8,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1977-05-11,5.8999999999999995,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1977-06-15,5.5,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1977-07-13,5.125,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1977-08-10,5.175,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1977-09-14,4.85,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1977-10-12,4.525,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1977-11-09,4.375,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1977-12-14,4.3,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1978-01-11,4.775,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1978-02-22,4.65,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1978-03-15,4.800000000000001,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1978-04-12,4.425,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1978-05-10,4.25,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1978-06-14,3.825,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1978-07-12,3.625,gRGDP_1967_1984.xlsx,improve,improve,1.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1978-08-09,3.625,gRGDP_1967_1984.xlsx,improve,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
1978-09-13,3.55,gRGDP_1967_1984.xlsx,improve,no_change,0.0,greenbook,fed_staff,gRGDP,real_gdp,+1..+4Q
