source,forecaster_id,variable_canonical,forecast_date,horizon_native,pred_growth,pred_direction,realized_direction,hit,source_file,variable_native,year
greenbook,fed_staff,general_business,1975-12-10,+1..+4Q,4.625,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1975
greenbook,fed_staff,general_business,1976-01-14,+1..+4Q,4.266666666666667,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1976
greenbook,fed_staff,general_business,1976-02-11,+1..+4Q,5.25,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1976
greenbook,fed_staff,general_business,1976-03-10,+1..+4Q,5.275,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1976
greenbook,fed_staff,general_business,1976-04-14,+1..+4Q,5.075,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1976
greenbook,fed_staff,general_business,1976-05-12,+1..+4Q,5.225,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1976
greenbook,fed_staff,general_business,1976-06-16,+1..+4Q,5.075,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1976
greenbook,fed_staff,general_business,1976-07-14,+1..+4Q,5.125,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1976
greenbook,fed_staff,general_business,1976-08-11,+1..+4Q,5.15,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1976
greenbook,fed_staff,general_business,1976-09-15,+1..+4Q,5.375,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1976
greenbook,fed_staff,general_business,1976-10-13,+1..+4Q,4.9,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1976
greenbook,fed_staff,general_business,1976-11-10,+1..+4Q,4.6,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1976
greenbook,fed_staff,general_business,1976-12-15,+1..+4Q,5.55,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1976
greenbook,fed_staff,general_business,1977-01-12,+1..+4Q,6.1000000000000005,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1977
greenbook,fed_staff,general_business,1977-02-09,+1..+4Q,6.275,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1977
greenbook,fed_staff,general_business,1977-03-09,+1..+4Q,6.499999999999999,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1977
greenbook,fed_staff,general_business,1977-04-15,+1..+4Q,5.8,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1977
greenbook,fed_staff,general_business,1977-05-11,+1..+4Q,5.8999999999999995,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1977
greenbook,fed_staff,general_business,1977-06-15,+1..+4Q,5.5,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1977
greenbook,fed_staff,general_business,1977-07-13,+1..+4Q,5.125,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1977
greenbook,fed_staff,general_business,1977-08-10,+1..+4Q,5.175,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1977
greenbook,fed_staff,general_business,1977-09-14,+1..+4Q,4.85,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1977
greenbook,fed_staff,general_business,1977-10-12,+1..+4Q,4.525,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1977
greenbook,fed_staff,general_business,1977-11-09,+1..+4Q,4.375,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1977
greenbook,fed_staff,general_business,1977-12-14,+1..+4Q,4.3,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1977
greenbook,fed_staff,general_business,1978-01-11,+1..+4Q,4.775,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1978
greenbook,fed_staff,general_business,1978-02-22,+1..+4Q,4.65,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1978
greenbook,fed_staff,general_business,1978-03-15,+1..+4Q,4.800000000000001,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1978
greenbook,fed_staff,general_business,1978-04-12,+1..+4Q,4.425,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1978
greenbook,fed_staff,general_business,1978-05-10,+1..+4Q,4.25,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1978
greenbook,fed_staff,general_business,1978-06-14,+1..+4Q,3.825,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1978
