month,n_claims,n_directional,net_direction,share_worsen,share_improve,disagreement,hedge_rate,mean_horizon,share_named,share_expert,share_official,share_journalist,n_all_claims,n_pages,attention
1913-07,24.0,24.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666667,0.5,12.0,0.25,0.4166666666666667,0.08333333333333333,0.5,51,30,170.0
1913-08,20.0,20.0,1.0,0.0,1.0,0.0,0.45,,0.8,0.7,0.2,0.1,36,29,124.13793103448276
1913-09,28.0,28.0,0.9285714285714286,0.03571428571428571,0.9642857142857143,0.0714285714285714,0.25,6.0,0.39285714285714285,0.39285714285714285,0.03571428571428571,0.5714285714285714,70,26,269.2307692307692
1913-10,22.0,21.0,0.42857142857142855,0.2857142857142857,0.7142857142857143,0.5714285714285714,0.36363636363636365,120.0,0.36363636363636365,0.4090909090909091,0.045454545454545456,0.5454545454545454,53,30,176.66666666666666
1913-11,19.0,17.0,0.058823529411764705,0.47058823529411764,0.5294117647058824,0.9411764705882353,0.2631578947368421,24.0,0.21052631578947367,0.3157894736842105,0.0,0.631578947368421,43,30,143.33333333333334
1913-12,40.0,40.0,0.7,0.15,0.85,0.30000000000000004,0.35,9.142857142857142,0.525,0.55,0.075,0.325,56,30,186.66666666666666
1914-01,49.0,49.0,0.8775510204081632,0.061224489795918366,0.9387755102040817,0.12244897959183676,0.3877551020408163,10.363636363636363,0.5510204081632653,0.40816326530612246,0.20408163265306123,0.3877551020408163,61,29,210.3448275862069
1914-02,29.0,28.0,0.8571428571428571,0.07142857142857142,0.9285714285714286,0.1428571428571429,0.2413793103448276,6.0,0.4482758620689655,0.6206896551724138,0.13793103448275862,0.20689655172413793,49,30,163.33333333333334
1914-03,27.0,27.0,0.7037037037037037,0.14814814814814814,0.8518518518518519,0.2962962962962963,0.3333333333333333,12.0,0.2962962962962963,0.14814814814814814,0.07407407407407407,0.5925925925925926,55,30,183.33333333333334
1914-04,39.0,38.0,0.5789473684210527,0.21052631578947367,0.7894736842105263,0.42105263157894735,0.358974358974359,6.75,0.3333333333333333,0.3076923076923077,0.07692307692307693,0.5897435897435898,71,30,236.66666666666666
1914-05,24.0,24.0,0.75,0.125,0.875,0.25,0.25,12.0,0.5833333333333334,0.625,0.08333333333333333,0.25,56,30,186.66666666666666
1914-06,27.0,26.0,0.8461538461538461,0.07692307692307693,0.9230769230769231,0.15384615384615385,0.2962962962962963,12.0,0.5555555555555556,0.5185185185185185,0.1111111111111111,0.3333333333333333,48,30,160.0
1914-07,34.0,34.0,0.5882352941176471,0.20588235294117646,0.7941176470588235,0.4117647058823529,0.29411764705882354,12.0,0.7058823529411765,0.7352941176470589,0.08823529411764706,0.14705882352941177,54,29,186.20689655172413
1914-08,39.0,39.0,0.6923076923076923,0.15384615384615385,0.8461538461538461,0.3076923076923077,0.2564102564102564,9.6,0.48717948717948717,0.5641025641025641,0.1282051282051282,0.3076923076923077,75,29,258.62068965517244
1914-09,36.0,35.0,0.8857142857142857,0.05714285714285714,0.9428571428571428,0.11428571428571432,0.3611111111111111,10.166666666666666,0.5277777777777778,0.5277777777777778,0.0,0.3888888888888889,58,25,232.0
